Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
1,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.81,524.0,Juvenile,Female,07-11-2010,Australia,Estuaries,Least Concern,John Smith,Feeding behavior
2,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.3,620.3,Adult,Unknown,30-03-2012,Philippines,Coastal,Least Concern,Noah Williams,Aggressive display
3,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.47,447.2,Hatchling,Unknown,18-01-2013,Philippines,Rivers,Least Concern,John Smith,Nest near water
4,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.91,552.7,Juvenile,Female,15-11-2011,Indonesia,Coastal,Least Concern,Liam Brown,Resting near shore
5,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.66,453.5,Adult,Unknown,02-12-2017,Philippines,Rivers,Least Concern,Olivia Davis,Aggressive display
6,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.14,370.1,Subadult,Female,21-03-2020,Indonesia,Estuaries,Least Concern,Olivia Davis,Tagged individual
7,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.08,482.2,Hatchling,Female,21-07-2014,Australia,Rivers,Least Concern,Emma Johnson,Aggressive display
8,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.32,604.7,Juvenile,Unknown,12-11-2021,Australia,Estuaries,Least Concern,Liam Brown,Nest near water
9,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.39,455.8,Subadult,Male,23-12-2022,Australia,Coastal,Least Concern,Noah Williams,Resting near shore
10,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.65,422.4,Juvenile,Male,05-10-2011,Indonesia,Coastal,Least Concern,Emma Johnson,Feeding behavior
11,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.67,468.6,Juvenile,Male,11-05-2020,Philippines,Coastal,Least Concern,Noah Williams,Observed basking
12,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.91,657.1,Adult,Unknown,07-10-2009,Philippines,Rivers,Least Concern,Ethan Martinez,Aggressive display
13,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.71,667.7,Juvenile,Female,11-02-2022,Australia,Estuaries,Least Concern,Liam Brown,Aggressive display
14,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.71,528.5,Adult,Unknown,01-11-2013,Indonesia,Rivers,Least Concern,Maria Gonzalez,Unusual coloration
15,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.27,448.5,Juvenile,Unknown,30-12-2008,Indonesia,Coastal,Least Concern,Sophia Patel,Unusual coloration
16,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.75,433.8,Adult,Male,25-06-2019,Australia,Rivers,Least Concern,Sophia Patel,Nest near water
17,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.53,350.6,Hatchling,Female,13-08-2013,Philippines,Estuaries,Least Concern,Liam Brown,Aggressive display
18,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.39,463.2,Hatchling,Female,17-06-2014,Indonesia,Estuaries,Least Concern,Liam Brown,Nest near water
19,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.81,525.0,Hatchling,Female,22-05-2020,Australia,Estuaries,Least Concern,Maria Gonzalez,Aggressive display
20,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.29,582.5,Adult,Unknown,14-03-2015,Philippines,Coastal,Least Concern,John Smith,Resting near shore
21,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.76,539.9,Subadult,Female,20-10-2010,Philippines,Coastal,Least Concern,Maria Gonzalez,Resting near shore
22,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.86,493.3,Subadult,Male,14-08-2022,Indonesia,Estuaries,Least Concern,Liam Brown,Aggressive display
23,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.8,520.5,Juvenile,Male,24-07-2012,Indonesia,Coastal,Least Concern,Emma Johnson,Juvenile group
24,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.04,627.0,Hatchling,Female,27-04-2011,Philippines,Estuaries,Least Concern,John Smith,Feeding behavior
25,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.68,515.2,Subadult,Female,20-07-2014,Australia,Rivers,Least Concern,Noah Williams,Tagged individual
26,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.14,451.6,Subadult,Female,10-05-2014,Philippines,Coastal,Least Concern,John Smith,Resting near shore
27,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.61,382.8,Subadult,Unknown,27-10-2005,Indonesia,Coastal,Least Concern,Olivia Davis,Juvenile group
28,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.21,436.7,Juvenile,Unknown,26-01-2016,Australia,Rivers,Least Concern,Olivia Davis,Tagged individual
29,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.13,338.9,Adult,Male,19-09-2006,Indonesia,Coastal,Least Concern,Noah Williams,Unusual coloration
30,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.25,703.0,Hatchling,Female,01-07-2016,Indonesia,Rivers,Least Concern,Maria Gonzalez,Unusual coloration
31,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.93,610.8,Hatchling,Male,01-10-2021,Philippines,Estuaries,Least Concern,Emma Johnson,Feeding behavior
32,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.31,449.0,Subadult,Female,22-10-2018,Australia,Coastal,Least Concern,Sophia Patel,Observed basking
33,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.18,681.9,Juvenile,Female,01-04-2016,Philippines,Estuaries,Least Concern,John Smith,Aggressive display
34,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.96,411.3,Adult,Male,03-06-2005,Philippines,Coastal,Least Concern,Olivia Davis,Nest near water
35,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.77,408.4,Hatchling,Male,16-01-2010,Indonesia,Estuaries,Least Concern,John Smith,Unusual coloration
36,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.66,497.4,Adult,Unknown,09-06-2014,Indonesia,Rivers,Least Concern,Noah Williams,Aggressive display
37,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.62,518.7,Subadult,Female,14-06-2023,Philippines,Estuaries,Least Concern,Ethan Martinez,Nest near water
38,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.11,359.4,Juvenile,Unknown,01-10-2013,Australia,Rivers,Least Concern,Emma Johnson,Aggressive display
39,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.62,595.1,Adult,Unknown,29-09-2012,Australia,Rivers,Least Concern,Maria Gonzalez,Juvenile group
40,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.55,381.8,Subadult,Female,17-02-2020,Philippines,Estuaries,Least Concern,Ethan Martinez,Observed basking
41,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.95,518.4,Adult,Female,27-02-2022,Indonesia,Estuaries,Least Concern,John Smith,Tagged individual
42,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.39,422.9,Juvenile,Female,14-08-2018,Australia,Estuaries,Least Concern,Maria Gonzalez,Feeding behavior
43,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.93,495.8,Subadult,Male,26-05-2024,Australia,Rivers,Least Concern,Liam Brown,Aggressive display
44,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.32,588.4,Subadult,Female,13-04-2022,Australia,Estuaries,Least Concern,Noah Williams,Feeding behavior
45,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.01,630.1,Subadult,Unknown,05-01-2017,Indonesia,Rivers,Least Concern,Olivia Davis,Juvenile group
46,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.01,425.0,Adult,Male,21-09-2025,Philippines,Estuaries,Least Concern,Liam Brown,Aggressive display
47,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.03,515.8,Juvenile,Unknown,08-05-2025,Philippines,Estuaries,Least Concern,Maria Gonzalez,Aggressive display
48,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.13,539.2,Juvenile,Unknown,26-08-2005,Philippines,Estuaries,Least Concern,Sophia Patel,Nest near water
49,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.99,519.7,Adult,Male,16-04-2012,Australia,Rivers,Least Concern,Sophia Patel,Nest near water
50,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.98,567.2,Hatchling,Unknown,28-06-2018,Australia,Estuaries,Least Concern,Olivia Davis,Juvenile group
51,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.46,318.1,Juvenile,Male,05-08-2015,Philippines,Rivers,Least Concern,Sophia Patel,Unusual coloration
52,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.79,690.1,Adult,Female,01-07-2010,Australia,Coastal,Least Concern,Ethan Martinez,Juvenile group
53,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.86,431.0,Hatchling,Unknown,17-10-2023,Indonesia,Rivers,Least Concern,Noah Williams,Nest near water
54,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.02,554.5,Hatchling,Unknown,07-03-2020,Australia,Coastal,Least Concern,Olivia Davis,Resting near shore
55,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.68,523.1,Hatchling,Unknown,02-06-2022,Philippines,Estuaries,Least Concern,John Smith,Resting near shore
56,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.76,536.3,Hatchling,Female,17-12-2013,Philippines,Estuaries,Least Concern,Ethan Martinez,Aggressive display
57,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.3,499.6,Hatchling,Unknown,16-10-2008,Philippines,Rivers,Least Concern,Noah Williams,Aggressive display
58,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.6,511.9,Juvenile,Female,07-03-2007,Australia,Estuaries,Least Concern,Noah Williams,Feeding behavior
59,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.76,639.3,Subadult,Female,16-06-2020,Australia,Estuaries,Least Concern,Ethan Martinez,Unusual coloration
60,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.77,381.2,Hatchling,Male,27-04-2008,Indonesia,Estuaries,Least Concern,Emma Johnson,Observed basking
61,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.66,480.9,Subadult,Female,21-01-2021,Philippines,Rivers,Least Concern,Liam Brown,Tagged individual
62,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.9,377.7,Juvenile,Male,17-08-2018,Philippines,Coastal,Least Concern,Emma Johnson,Aggressive display
