Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
1,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.23,460.1,Subadult,Female,02-12-2007,Australia,Estuaries,Least Concern,Harper Clark,Calm behavior
2,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.04,629.6,Hatchling,Unknown,11-03-2009,Philippines,Coastal,Least Concern,Mia Anderson,Protecting nest
3,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.52,672.2,Hatchling,Unknown,30-08-2022,Australia,Coastal,Least Concern,Ava Thompson,Observed in shade
4,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.07,405.1,Subadult,Male,16-02-2005,Indonesia,Coastal,Least Concern,Harper Clark,Active during dusk
5,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.42,516.0,Adult,Female,17-12-2014,Australia,Coastal,Least Concern,Elijah Taylor,Calm behavior
6,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.29,760.0,Adult,Female,01-12-2021,Indonesia,Estuaries,Least Concern,Isabella Lewis,Tagged juvenile
7,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.03,484.8,Adult,Female,04-10-2008,Australia,Coastal,Least Concern,Harper Clark,Observed in shade
8,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.53,501.1,Juvenile,Male,04-11-2024,Philippines,Rivers,Least Concern,Mia Anderson,Near mangrove roots
9,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.2,346.7,Adult,Female,17-12-2024,Australia,Estuaries,Least Concern,Ava Thompson,Calm behavior
10,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.88,450.1,Juvenile,Male,03-01-2021,Australia,Estuaries,Least Concern,Ava Thompson,Calm behavior
11,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.8,670.4,Juvenile,Male,28-11-2012,Australia,Coastal,Least Concern,Lucas Miller,Near mangrove roots
12,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.96,420.3,Adult,Male,02-05-2022,Indonesia,Coastal,Least Concern,Lucas Miller,Seen swimming fast
13,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.68,619.8,Hatchling,Unknown,15-03-2018,Indonesia,Rivers,Least Concern,Benjamin Harris,Near mangrove roots
14,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.9,697.3,Hatchling,Female,21-06-2017,Indonesia,Rivers,Least Concern,Ava Thompson,Observed in shade
15,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.03,565.7,Juvenile,Male,13-04-2017,Australia,Estuaries,Least Concern,Harper Clark,Calm behavior
16,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.57,695.5,Subadult,Female,13-10-2024,Australia,Rivers,Least Concern,Charlotte Moore,Observed in shade
17,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.18,587.7,Adult,Male,10-01-2005,Australia,Coastal,Least Concern,Ava Thompson,Calm behavior
18,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.11,424.7,Juvenile,Male,11-11-2019,Indonesia,Coastal,Least Concern,Mia Anderson,Observed in shade
19,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.72,583.4,Juvenile,Unknown,15-12-2007,Philippines,Estuaries,Least Concern,Lucas Miller,Feeding on fish
20,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.66,417.3,Juvenile,Unknown,25-03-2005,Philippines,Rivers,Least Concern,Mia Anderson,Observed in shade
21,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.78,635.5,Juvenile,Male,13-02-2024,Australia,Estuaries,Least Concern,Mia Anderson,Calm behavior
22,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.43,757.3,Hatchling,Male,14-05-2013,Australia,Rivers,Least Concern,Elijah Taylor,Observed in shade
23,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.11,414.7,Adult,Female,17-11-2024,Indonesia,Coastal,Least Concern,Ava Thompson,Seen swimming fast
24,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.84,511.5,Subadult,Unknown,15-10-2022,Indonesia,Coastal,Least Concern,Elijah Taylor,Near mangrove roots
25,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.55,692.2,Juvenile,Male,23-03-2022,Indonesia,Coastal,Least Concern,Lucas Miller,Observed in shade
26,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.3,628.6,Hatchling,Female,12-09-2011,Australia,Estuaries,Least Concern,Harper Clark,Observed in shade
