Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
1,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.12,643.6,Juvenile,Male,26-07-2011,Australia,Coastal,Least Concern,James Rivera,Active in rain
2,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.69,648.1,Hatchling,Female,05-06-2025,Indonesia,Rivers,Least Concern,William Brooks,Active in rain
3,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.38,361.3,Hatchling,Unknown,15-07-2011,Australia,Estuaries,Least Concern,Evelyn Scott,Active in rain
4,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.85,618.9,Juvenile,Male,26-07-2011,Indonesia,Rivers,Least Concern,James Rivera,Resting on shore
5,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.51,448.1,Juvenile,Unknown,05-04-2006,Indonesia,Rivers,Least Concern,Grace Turner,Tagged specimen
6,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.38,646.3,Adult,Male,14-11-2013,Philippines,Estuaries,Least Concern,Oliver Carter,In flooded grassland
7,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.21,774.8,Juvenile,Male,14-07-2007,Indonesia,Estuaries,Least Concern,Henry Adams,Resting on shore
8,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.58,492.8,Subadult,Unknown,05-08-2025,Australia,Coastal,Least Concern,Grace Turner,Resting on shore
9,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.38,418.1,Juvenile,Male,27-06-2014,Indonesia,Coastal,Least Concern,James Rivera,In flooded grassland
10,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.56,572.5,Adult,Female,27-03-2021,Australia,Rivers,Least Concern,Henry Adams,Observed hunting
11,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.19,730.3,Subadult,Unknown,29-07-2025,Indonesia,Rivers,Least Concern,Grace Turner,In flooded grassland
12,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.16,642.9,Subadult,Female,13-04-2011,Australia,Rivers,Least Concern,Evelyn Scott,Near nesting area
13,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.46,413.8,Hatchling,Unknown,14-11-2025,Indonesia,Estuaries,Least Concern,Oliver Carter,Tagged specimen
14,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.87,602.0,Hatchling,Female,19-07-2011,Australia,Coastal,Least Concern,Luna Parker,Near nesting area
