Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
1,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.45,691.5,Adult,Female,14-12-2017,Australia,Rivers,Least Concern,Avery Price,Active at dawn
2,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,2.98,299.9,Juvenile,Female,10-01-2009,Philippines,Coastal,Least Concern,Scarlett Reed,Nest building
3,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.31,715.1,Adult,Male,02-06-2010,Indonesia,Rivers,Least Concern,Zoey Bell,Active at dawn
4,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.13,448.5,Subadult,Male,15-09-2014,Australia,Estuaries,Least Concern,Avery Price,Feeding on fish
5,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.53,576.3,Adult,Unknown,22-11-2017,Australia,Estuaries,Least Concern,Zoey Bell,Active at dawn
6,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.57,311.1,Juvenile,Male,19-01-2016,Kenya,Estuaries,Least Concern,Scarlett Reed,Nest building
7,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.84,469.9,Adult,Male,29-01-2025,Côte d'Ivoire,Estuaries,Least Concern,Daniel Perez,Tagged female
8,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.11,491.7,Adult,Unknown,04-09-2020,Australia,Estuaries,Least Concern,Zoey Bell,Active at dawn
9,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.12,433.8,Hatchling,Female,07-06-2009,Australia,Lakes,Least Concern,Daniel Perez,Nest building
10,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.51,471.6,Adult,Unknown,08-03-2022,Philippines,Rivers,Least Concern,Nathan Ward,Feeding on fish
11,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.44,498.6,Hatchling,Unknown,30-09-2016,Indonesia,Lakes,Least Concern,Avery Price,Observed basking on rocks
12,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.12,535.3,Subadult,Female,30-04-2021,Guatemala,Rivers,Least Concern,Ella Cooper,Observed basking on rocks
13,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.82,655.8,Subadult,Male,31-12-2020,Philippines,Coastal,Least Concern,Ella Cooper,Tagged female
14,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.21,470.1,Juvenile,Unknown,22-06-2017,Indonesia,Rivers,Least Concern,Daniel Perez,Active at dawn
15,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.43,502.7,Subadult,Male,04-05-2010,Philippines,Coastal,Least Concern,Ella Cooper,Observed basking on rocks
16,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.95,675.6,Hatchling,Male,09-06-2012,Indonesia,Coastal,Least Concern,Zoey Bell,Calm adult
17,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.55,342.5,Juvenile,Female,01-02-2016,Australia,Coastal,Least Concern,Scarlett Reed,Tagged female
18,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.18,306.5,Hatchling,Unknown,08-01-2005,Cambodia,Rivers,Least Concern,Daniel Perez,Observed in shallow water
19,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.59,659.7,Juvenile,Unknown,28-11-2014,Australia,Estuaries,Least Concern,Mason Gray,Nest building
20,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.35,485.2,Hatchling,Male,24-06-2017,Indonesia,Rivers,Least Concern,Avery Price,Observed in shallow water
21,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.84,390.6,Hatchling,Unknown,02-01-2016,Indonesia,Lakes,Least Concern,Daniel Perez,Active at dawn
22,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.67,644.4,Adult,Male,26-04-2020,Colombia,Forest Swamps,Least Concern,Ella Cooper,Observed in shallow water
23,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.32,387.5,Subadult,Unknown,20-02-2015,Philippines,Estuaries,Least Concern,Mason Gray,Nest building
24,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.91,731.9,Hatchling,Female,23-04-2017,Australia,Coastal,Least Concern,Scarlett Reed,Calm adult
25,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.17,581.8,Adult,Unknown,19-11-2024,Philippines,Rivers,Least Concern,Daniel Perez,Tagged female
26,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.53,626.2,Hatchling,Unknown,09-06-2009,Tanzania,Coastal,Least Concern,Leo Torres,Observed basking on rocks
27,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.75,625.3,Hatchling,Female,07-11-2012,Indonesia,Coastal,Least Concern,Leo Torres,Nest building
28,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.6,453.4,Juvenile,Unknown,18-11-2014,Indonesia,Estuaries,Least Concern,Zoey Bell,Observed in shallow water
29,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.99,599.7,Juvenile,Female,01-03-2017,Mexico,Coastal,Least Concern,Mason Gray,Tagged female
30,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.18,558.8,Juvenile,Female,16-12-2012,Philippines,Rivers,Least Concern,Zoey Bell,Calm adult
31,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.96,539.6,Hatchling,Unknown,20-04-2024,Indonesia,Estuaries,Least Concern,Scarlett Reed,Unusual vocalization
32,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.06,328.0,Subadult,Female,07-11-2016,Philippines,Estuaries,Least Concern,Scarlett Reed,Observed in shallow water
33,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.88,411.6,Adult,Male,11-02-2005,Cambodia,Estuaries,Least Concern,Zoey Bell,Nest building
34,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.2,478.0,Juvenile,Female,10-01-2014,Australia,Coastal,Least Concern,Mason Gray,Tagged female
35,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.39,553.7,Juvenile,Male,23-03-2023,Australia,Estuaries,Least Concern,Avery Price,Active at dawn
36,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.41,483.8,Hatchling,Unknown,18-08-2017,Indonesia,Small Streams,Least Concern,Zoey Bell,Active at dawn
37,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.33,296.0,Adult,Unknown,15-01-2021,Philippines,Estuaries,Least Concern,Scarlett Reed,Active at dawn
38,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.99,741.1,Adult,Male,19-09-2022,Australia,Rivers,Least Concern,Zoey Bell,Observed basking on rocks
39,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.68,568.5,Hatchling,Female,15-07-2017,Indonesia,Coastal,Least Concern,Zoey Bell,Calm adult
40,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,2.95,309.7,Subadult,Male,03-09-2024,Australia,Lakes,Least Concern,Avery Price,Observed in shallow water
41,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,2.64,208.4,Adult,Male,02-04-2016,Philippines,Swamps,Least Concern,Scarlett Reed,Tagged female
42,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.17,575.5,Juvenile,Unknown,07-05-2025,Philippines,Estuaries,Least Concern,Avery Price,Active at dawn
43,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.65,353.6,Juvenile,Male,01-09-2006,Philippines,Estuaries,Least Concern,Daniel Perez,Unusual vocalization
44,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.82,492.0,Juvenile,Female,29-07-2024,Indonesia,Coastal,Least Concern,Nathan Ward,Tagged female
45,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.46,839.9,Adult,Female,21-05-2007,Sudan,Coastal,Least Concern,Nathan Ward,Feeding on fish
46,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.78,374.3,Subadult,Male,19-08-2014,Philippines,Forest Swamps,Least Concern,Avery Price,Tagged female
47,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.31,308.3,Juvenile,Unknown,08-12-2020,Australia,Coastal,Least Concern,Daniel Perez,Nest building
48,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.53,353.4,Hatchling,Female,04-09-2022,Liberia,Estuaries,Least Concern,Ella Cooper,Nest building
49,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.85,564.2,Hatchling,Unknown,09-02-2022,Australia,Swamps,Least Concern,Scarlett Reed,Active at dawn
50,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.21,829.0,Adult,Male,21-08-2016,Philippines,Estuaries,Least Concern,Nathan Ward,Calm adult
51,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.37,579.4,Hatchling,Unknown,25-09-2020,Australia,Swamps,Least Concern,Nathan Ward,Tagged female
52,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.33,415.4,Subadult,Female,11-09-2017,Philippines,Rivers,Least Concern,Avery Price,Active at dawn
53,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.3,448.4,Adult,Male,12-07-2020,Indonesia,Coastal,Least Concern,Leo Torres,Unusual vocalization
54,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.02,534.2,Adult,Female,06-03-2008,Indonesia,Coastal,Least Concern,Mason Gray,Observed basking on rocks
55,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.56,609.6,Adult,Male,04-02-2012,Indonesia,Swamps,Least Concern,Daniel Perez,Unusual vocalization
56,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.73,577.0,Adult,Female,11-02-2016,Indonesia,Coastal,Least Concern,Ella Cooper,Calm adult
57,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.75,497.0,Juvenile,Unknown,09-09-2013,Indonesia,Coastal,Least Concern,Ella Cooper,Tagged female
58,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.81,573.7,Subadult,Unknown,16-09-2016,Cuba,Estuaries,Least Concern,Ella Cooper,Unusual vocalization
59,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.18,808.6,Hatchling,Female,16-04-2013,Côte d'Ivoire,Coastal,Least Concern,Scarlett Reed,Feeding on fish
60,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.75,438.9,Adult,Male,17-08-2009,Philippines,Rivers,Least Concern,Nathan Ward,Feeding on fish
61,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.26,682.5,Hatchling,Male,08-09-2016,Indonesia,Swamps,Least Concern,Avery Price,Unusual vocalization
62,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.01,315.4,Hatchling,Unknown,27-01-2013,Australia,Estuaries,Least Concern,Daniel Perez,Observed in shallow water
