Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
1,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.43,331.1,Juvenile,Male,28-09-2025,Philippines,Estuaries,Least Concern,Sofia Ramirez,Observed near nest
2,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.42,780.6,Hatchling,Female,18-02-2019,Australia,Estuaries,Least Concern,Chloe Butler,Aggressive during capture
3,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.83,333.8,Subadult,Unknown,10-10-2010,Philippines,Estuaries,Least Concern,Sofia Ramirez,Aggressive during capture
4,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.86,452.6,Subadult,Female,24-12-2018,Philippines,Estuaries,Least Concern,Chloe Butler,Resting in mud
5,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.35,880.2,Juvenile,Female,11-02-2014,Philippines,Estuaries,Least Concern,Sofia Ramirez,Tagged last season
6,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,2.95,213.4,Juvenile,Female,13-12-2014,Philippines,Estuaries,Least Concern,Noah Robinson,Aggressive during capture
7,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.69,473.9,Hatchling,Male,17-05-2016,Philippines,Rivers,Least Concern,Jackson Hughes,Sunbathing on riverbank
8,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.46,568.5,Subadult,Male,28-06-2017,Indonesia,Rivers,Least Concern,Jackson Hughes,Observed eating prey
9,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.27,679.8,Hatchling,Female,05-10-2010,Australia,Estuaries,Least Concern,Jackson Hughes,Resting in mud
10,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,7.0,898.6,Adult,Male,12-05-2023,Indonesia,Rivers,Least Concern,Jackson Hughes,Aggressive during capture
11,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.2,539.7,Adult,Female,02-08-2015,Australia,Coastal,Least Concern,Sofia Ramirez,Sunbathing on riverbank
12,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.16,774.7,Adult,Unknown,29-05-2014,Philippines,Estuaries,Least Concern,Liam Evans,Observed eating prey
13,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.96,720.3,Subadult,Male,25-11-2019,Philippines,Rivers,Least Concern,Ethan Foster,Sunbathing on riverbank
14,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.4,894.4,Juvenile,Female,24-09-2021,Australia,Estuaries,Least Concern,Liam Evans,Hiding in vegetation
15,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,7.98,1086.0,Subadult,Unknown,27-01-2007,Philippines,Rivers,Least Concern,Liam Evans,Tagged last season
16,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.8,554.9,Subadult,Female,15-08-2012,Australia,Rivers,Least Concern,Liam Evans,Resting in mud
17,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.47,614.6,Adult,Unknown,30-05-2005,Philippines,Rivers,Least Concern,Chloe Butler,Unusual size
18,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.47,489.0,Adult,Male,27-02-2015,Philippines,Rivers,Least Concern,Sofia Ramirez,Observed eating prey
19,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.89,601.2,Hatchling,Female,05-11-2007,Indonesia,Estuaries,Least Concern,Chloe Butler,Tagged last season
20,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.15,404.5,Hatchling,Unknown,15-09-2007,Philippines,Coastal,Least Concern,Ethan Foster,Observed eating prey
21,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,7.29,928.3,Juvenile,Male,21-01-2015,Indonesia,Rivers,Least Concern,Noah Robinson,Hiding in vegetation
22,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.25,575.2,Hatchling,Male,04-02-2019,Philippines,Estuaries,Least Concern,Olivia Simmons,Resting in mud
23,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.5,671.4,Adult,Male,03-11-2019,Indonesia,Estuaries,Least Concern,Liam Evans,Tagged last season
24,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.92,593.8,Hatchling,Female,21-01-2023,Australia,Estuaries,Least Concern,Chloe Butler,Hiding in vegetation
25,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.32,418.6,Hatchling,Female,07-04-2013,Indonesia,Coastal,Least Concern,Liam Evans,Tagged last season
26,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.34,578.5,Subadult,Female,21-03-2023,Indonesia,Rivers,Least Concern,Olivia Simmons,Sunbathing on riverbank
27,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.83,641.1,Subadult,Female,20-07-2012,Philippines,Rivers,Least Concern,Olivia Simmons,Hiding in vegetation
28,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,8.02,1236.1,Subadult,Male,27-01-2005,Australia,Estuaries,Least Concern,Olivia Simmons,Aggressive during capture
29,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.77,685.2,Juvenile,Female,29-10-2025,Indonesia,Estuaries,Least Concern,Chloe Butler,Sunbathing on riverbank
30,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.09,714.2,Adult,Male,02-02-2021,Indonesia,Estuaries,Least Concern,Liam Evans,Sunbathing on riverbank
31,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.3,728.2,Adult,Unknown,13-02-2017,Australia,Estuaries,Least Concern,Sofia Ramirez,Sunbathing on riverbank
32,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.76,348.5,Subadult,Male,09-07-2020,Australia,Rivers,Least Concern,Olivia Simmons,Aggressive during capture
33,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.99,342.5,Juvenile,Female,14-02-2016,Philippines,Estuaries,Least Concern,Chloe Butler,Tagged last season
34,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.7,380.8,Hatchling,Female,01-05-2009,Australia,Rivers,Least Concern,Noah Robinson,Observed eating prey
35,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.93,494.7,Subadult,Male,23-03-2007,Indonesia,Coastal,Least Concern,Noah Robinson,Observed near nest
36,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.79,446.4,Juvenile,Male,23-09-2015,Indonesia,Coastal,Least Concern,Sofia Ramirez,Aggressive during capture
37,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.33,485.2,Hatchling,Male,05-09-2009,Indonesia,Rivers,Least Concern,Chloe Butler,Tagged last season
38,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.1,752.8,Subadult,Male,21-05-2017,Australia,Estuaries,Least Concern,Sofia Ramirez,Observed near nest
39,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.84,363.8,Hatchling,Unknown,28-07-2020,Indonesia,Coastal,Least Concern,Layla Barnes,Tagged last season
40,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.22,417.2,Adult,Unknown,25-04-2025,Indonesia,Coastal,Least Concern,Jackson Hughes,Tagged last season
41,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,6.59,849.8,Hatchling,Male,15-07-2023,Indonesia,Coastal,Least Concern,Ethan Foster,Aggressive during capture
42,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.9,428.8,Subadult,Male,12-11-2009,Philippines,Rivers,Least Concern,Liam Evans,Unusual size
43,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.0,428.8,Subadult,Male,19-11-2016,Indonesia,Rivers,Least Concern,Liam Evans,Resting in mud
44,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.7,641.3,Hatchling,Unknown,19-06-2010,Indonesia,Estuaries,Least Concern,Sofia Ramirez,Sunbathing on riverbank
45,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.79,379.1,Juvenile,Male,30-12-2013,Philippines,Rivers,Least Concern,Layla Barnes,Observed eating prey
46,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.88,524.5,Juvenile,Female,01-05-2024,Philippines,Rivers,Least Concern,Liam Evans,Unusual size
47,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,7.19,1024.8,Juvenile,Unknown,11-06-2016,Indonesia,Estuaries,Least Concern,Liam Evans,Observed near nest
